id_platz;typ;strasse;tarif;anzvelos;anschliess;gedeckt;zugang;infos;cargovelo;bikeride;velospot;geo_point_2d;geo_shape
120;Velos;Freie Strasse;Gebührenfrei;14;nicht anschliessbar;nein;;;;nein;;47.55661496227785, 7.589674344860132;"{""coordinates"": [7.589674344860132, 47.55661496227785], ""type"": ""Point""}"
124;Velos;Freie Strasse;Gebührenfrei;17;nicht anschliessbar;nein;;;;nein;;47.55564765256487, 7.590544298226472;"{""coordinates"": [7.590544298226472, 47.55564765256487], ""type"": ""Point""}"
125;Velos;Schneidergasse;Gebührenfrei;10;nicht anschliessbar;nein;;;;nein;;47.55783162732335, 7.586785621171028;"{""coordinates"": [7.586785621171028, 47.55783162732335], ""type"": ""Point""}"
126;Velos;Schneidergasse;Gebührenfrei;10;nicht anschliessbar;nein;;;;nein;;47.5576549444414, 7.586807677921538;"{""coordinates"": [7.586807677921538, 47.5576549444414], ""type"": ""Point""}"
128;Velos;Marktplatz;Gebührenfrei;26;nicht anschliessbar;nein;;;;nein;;47.5577058779136, 7.5881444057476894;"{""coordinates"": [7.588144405747689, 47.5577058779136], ""type"": ""Point""}"
135;Velos;Streitgasse;Gebührenfrei;33;nicht anschliessbar;nein;;;;nein;;47.55520914654162, 7.590246010285893;"{""coordinates"": [7.590246010285893, 47.55520914654162], ""type"": ""Point""}"
138;Velos;Brennerstrasse;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.55128895796178, 7.574183597658961;"{""coordinates"": [7.574183597658961, 47.55128895796178], ""type"": ""Point""}"
146;Velos;Neuhausstrasse;Gebührenfrei;6;nicht anschliessbar;nein;;;;nein;;47.5825553868992, 7.593399310797004;"{""coordinates"": [7.593399310797004, 47.5825553868992], ""type"": ""Point""}"
152;Velos/Motorräder;Lukas Legrand-Strasse;Gebührenfrei;5;nicht anschliessbar;nein;;;;nein;;47.569369472524585, 7.61549594845592;"{""coordinates"": [7.61549594845592, 47.569369472524585], ""type"": ""Point""}"
153;Velos/Motorräder;Bäumlihofstrasse;Gebührenfrei;7;nicht anschliessbar;nein;;;;nein;;47.56503663211964, 7.617349443579934;"{""coordinates"": [7.617349443579934, 47.56503663211964], ""type"": ""Point""}"
159;Velos/Motorräder;Turnerstrasse;Gebührenfrei;7;nicht anschliessbar;nein;;;;nein;;47.56165216006997, 7.599766747101767;"{""coordinates"": [7.599766747101767, 47.56165216006997], ""type"": ""Point""}"
161;Velos/Motorräder;Alemannengasse;Gebührenfrei;6;nicht anschliessbar;nein;;;;nein;;47.55794659502486, 7.603937214324173;"{""coordinates"": [7.603937214324173, 47.55794659502486], ""type"": ""Point""}"
166;Velos/Motorräder;Bleichestrasse;Gebührenfrei;12;nicht anschliessbar;nein;;;;nein;;47.56605992884757, 7.601613476668978;"{""coordinates"": [7.601613476668978, 47.56605992884757], ""type"": ""Point""}"
