,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
208,10210,10166,GR,3635,Pratval,Pratval,11,1,1000,20,01.01.1960,2010,24,31.12.2000,31.12.2000
209,10211,10184,GR,3703,Casti-Wergenstein,Casti-Wergenstein,11,1,1000,20,01.01.1960,2038,24,31.12.2000,31.12.2000
210,10212,10162,GR,3732,Flims,Flims,11,1,1000,20,01.01.1960,2052,24,31.12.2000,31.12.2000
211,10213,10162,GR,3731,Felsberg,Felsberg,11,1,1000,20,01.01.1960,2051,24,31.12.2000,31.12.2000
212,10214,10162,GR,3723,Rhäzüns,Rhäzüns,11,1,1000,20,01.01.1960,2050,24,31.12.2000,31.12.2000
213,10215,10162,GR,3722,Domat/Ems,Domat/Ems,11,1,1000,20,01.01.1960,2049,24,31.12.2000,31.12.2000
214,10216,10162,GR,3721,Bonaduz,Bonaduz,11,1,1000,20,01.01.1960,2048,24,31.12.2000,31.12.2000
215,10217,10184,GR,3712,Zillis-Reischen,Zillis-Reischen,11,1,1000,20,01.01.1960,2047,24,31.12.2000,31.12.2000
216,10218,10184,GR,3711,Rongellen,Rongellen,11,1,1000,20,01.01.1960,2046,24,31.12.2000,31.12.2000
217,10219,10184,GR,3710,Pignia,Pignia,11,1,1000,20,01.01.1960,2045,24,31.12.2000,31.12.2000
218,10220,10184,GR,3709,Patzen-Fardün,Patzen-Fardün,11,1,1000,20,01.01.1960,2044,24,31.12.2000,31.12.2000
219,10221,10184,GR,3708,Mathon,Mathon,11,1,1000,20,01.01.1960,2043,24,31.12.2000,31.12.2000
220,10222,10184,GR,3707,Lohn (GR),Lohn (GR),11,1,1000,20,01.01.1960,2042,24,31.12.2000,31.12.2000
221,10223,10184,GR,3706,Innerferrera,Innerferrera,11,1,1000,20,01.01.1960,2041,24,31.12.2000,31.12.2000
222,10224,10166,GR,3663,Masein,Masein,11,1,1000,20,01.01.1960,2022,24,31.12.2000,31.12.2000
